Video ID,Shawn Seconds,Total Seconds
7051432403251858689,0,71.23333333333333
7051918569847721217,0,22.25
7052343617905626370,0,53.833333333333336
7052682156325227777,0,36.541666666666664
7054476060309622018,0,66.66666666666667
7054863838608493825,0,22.333333333333332
7056198253859147009,0,15.666666666666666
7057789369599544578,0,51.125
7058214074722602241,0,31.291666666666668
7059327169515883778,0,27.541666666666668
7060846287264025858,0,28.291666666666668
7062287727441530113,0,28.916666666666668
7063450185090813186,0,22.166666666666668
7064860516086271234,0,31.133333333333333
7066774387147459842,0,14.9
7068281199214480642,0,62.0
7070065124018556162,0,33.0
7070463036263386370,0,59.9
7072301021170535681,0,22.433333333333334
7073437477893180673,0,21.133333333333333
7078228532630981889,0,13.4
7080458712321641730,0,23.433333333333334
7080670591157619970,0,17.3
7081053449869085954,0,21.733333333333334
7081574854381686018,0,37.266666666666666
7083056780397251842,0,51.06666666666667
7083093695360224513,0,60.0
7083409775609908481,0,12.7
7084018720057593090,0,55.4
7084443341164678401,0,52.06666666666667
7084788698516098305,0,21.6
7085258475890117889,0,18.4
7087900160126094593,0,20.1
7088295688945143041,0,20.1
7088873489028943105,0,20.5
7089714260397296898,0,16.6
7090425742361627905,5,55.1
7091194001440705793,0,15.866666666666667
7091601817703959809,0,26.566666666666666
7093317624485924098,0,18.466666666666665
7094066984224066818,0,42.53333333333333
7094891910166220034,0,19.266666666666666
7095187185229384962,0,32.36666666666667
7096017156298640641,0,15.0
7097032516904766722,0,32.166666666666664
7097587990955969793,0,28.733333333333334
7097744630694808834,0,19.933333333333334
7098141039239712001,0,23.6
7098142108883717378,0,22.366666666666667
7098142956774788353,0,7.5
7098230783516708097,0,20.133333333333333
7098353525935164673,0,12.366666666666667
7098354215373786369,0,31.8
7098529537809566977,0,41.36
7098903978515107073,0,9.9
7098996137348189441,0,20.7
7099026212877536513,0,50.3
7099108215618637057,0,28.9
7099286623392681218,0,30.2
7099374433214762242,0,34.666666666666664
7099762211903606017,0,21.4
7099811946823765249,0,38.06666666666667
7099832401781640449,0,14.333333333333334
7100214106375900418,0,24.4
7100973989387865345,0,19.4
7101120153655446785,0,14.666666666666666
7101498667890265345,0,22.7
7107243330638990594,0,18.233333333333334
7130097154953153794,0,12.5
7131537940408208642,0,15.6
7133456744327433473,0,19.766666666666666
7141338957878463745,2,21.0
7141703033611717889,0,25.433333333333334
7142730820111830273,0,27.3
7142827764406586626,0,11.1
7142833363575950594,0,13.033333333333333
7142834006751530241,0,19.4
7143765169590652162,1,22.133333333333333
7147983397762108673,28,74.1
7148295735308553474,0,18.766666666666666
7148297520601419010,0,41.53333333333333
7148298329976229122,0,43.8
